symbol
AAPL
MSFT
GOOGL
AMZN
META
NVDA
TSLA
JPM
V
MA
UNH
HD
PG
XOM
BAC
CVX
KO
PFE
CSCO
CMCSA
VZ
ADBE
NFLX
INTU
ORCL
CRM
ABT
MRK
WMT
COST
TMO
MCD
NKE
DIS
PEP
BMY
ACN
AVGO
QCOM
TXN
AMD
IBM
GE
CAT
BA
HON
LMT
RTX
UPS
FDX
LOW
SBUX
MMM
GILD
AMGN
MDT
DHR
LIN
SYK
GS
MS
C
WFC
USB
BLK
SCHW
SPGI
ICE
CME
CB
JNJ
ABBV
COP
SLB
EOG
BK
PNC
AON
ADP
BKNG
DE
GM
F
T
TMUS
MO
PM
SO
DUK
NEE
D
AEP
EXC
PLD
PSA
CCI
EQIX
AMT
O
SPG
CVS
CI
ANTM
HUM
ELV
ISRG
ZTS
REGN
VRTX
ILMN
BDX
APD
SHW
CSX
UNP
NSC
KMB
CL
KHC
GIS
